"id_bradesco","unit_name","data_inicio_automacao","dias_antes_automacao"
3787,"3787 MANHUACU","06/02/25",30
1993,"1993 PONTE RASA-USP","06/02/25",28
1259,"1259 EMBU DAS ARTES - SP","06/02/25",27
499,"499 CAPELA SOCORRO-USP","06/02/25",27
1698,"1698 IRAJA-URJ","06/02/25",27
2274,"2274 AV.85-UGOIANIA","06/02/25",27
3084,"3084 TABOAO DA SERRA-CTO","06/16/25",39
5218,"5218 ITACARE","06/16/25",39
496,"496 ACLIMACAO-USP","06/16/25",38
3354,"3354 PREF.PRAIA GDE.UPGDE","06/16/25",37
725,"725 PORTO NACIONAL","06/16/25",37
1978,"1978 MONGAGUA","06/16/25",37
199,"199 V.MARIA-USP","06/16/25",37
616,"616 ARAGUACU","06/16/25",34
529,"529 QUILOMETRO 18-U.OSAS","06/16/25",33
1599,"1599 OLINDA-CENTRO","06/16/25",33
421,"421 HEITOR PENTEADO-USP","06/16/25",33
237,"237 ILHEUS-CENTRO","06/16/25",33
3578,"3578 RIO REAL","06/16/25",32
545,"545 V.NOVA CACHOEIR-USP","06/16/25",32
3848,"3848 PICARRA-URB.TERESINA","06/16/25",32
2778,"2778 RUA DIAS CRUZ - URB - RJ","06/16/25",31
3183,"3183 EUNAPOLIS","06/16/25",30
1855,"1855 CONGONHAS","06/16/25",30
3691,"3691 ITABATAN PV MUCURI","07/03/25",44
6074,"6074 PRIME MEIER-URJ","07/03/25",44
3114,"3114 NACIONAL-USP","07/03/25",44
2337,"2337 PRIME PRAÇA DO BATEL URB CURITIBA PR","07/03/25",44
255,"255 HORTO FLORESTAL-USP","07/03/25",44
2029,"2029 CID.OCIAN-U.P.GRANDE","07/03/25",43
313,"313 V.LEOPOLDINA-USP","07/03/25",43
2003,"2003 NOVA CANTAREIRA-USP","07/03/25",42
2212,"2212 ELDORADO-U.CONT.","07/03/25",42
872,"872 BARRA WORLD URJ","07/03/25",41
1066,"1066 PRIME PALMAS","07/03/25",41
280,"280 PRAIA GRANDE-CENTRO","07/03/25",41
3217,"3217 VITORIA DE STO.ANTAO","07/03/25",40
576,"576 MURIAE","07/03/25",40
3515,"3515 EUCLIDES DA CUNHA","07/03/25",40
2889,"2889 V.TUPY-U.PRAIA GDE.","07/03/25",40
3666,"3666 PERIPERI-USA","07/03/25",40
2303,"2303 JD.TRANQUILIDADE-UGU","07/03/25",40
3013,"3013 CAMACAN","06/16/25",21
349,"349 GASPAR","07/03/25",37
1074,"1074 TUTOIA-USP","07/03/25",37
5755,"5755 R. JOAO NEGRAO-U CURITIBA- PR","07/03/25",37
3715,"3715 AV.CARVALHO LEAL-UMA","07/03/25",37
854,"854 TIMOM","07/03/25",37
3664,"3664 AV.JK UPALMAS","07/03/25",36
5423,"5423 RAIZ - URB MANAUS- AM","07/03/25",36
1867,"1867 COLOMBO-CENTRO","07/03/25",36
2415,"2415 JD.HEL.MARIA-U.OSAS.","07/03/25",36
337,"337 BRUSQUE-CENTRO-SC","07/03/25",35
1407,"1407 V.BARROS-U.GUARULHOS","07/03/25",35
495,"495 AV.IBIRAPUERA-USP","07/03/25",35
2799,"2799 V.BORGES-USP","07/03/25",35
1156,"1156 CAPIM GROSSO","07/03/25",35
450,"450 COLONIAL-USP","07/03/25",34
6693,"6693 AV.JOAQ.T.SEGUR-UPAL","07/03/25",34
2397,"2397 PALMAS-CTO","07/03/25",34
293,"293 B.LIMAO-USP","07/03/25",33
2010,"2010 SANTA RITA","07/03/25",33
129,"129 DUQUE DE CAXIAS-CTO.","07/03/25",33
1742,"1742 JACANA-USP","07/03/25",33
154,"154 GUARULHOS-CENTRO","07/03/25",33
2846,"2846 V.OLIMPIA-USP","07/03/25",33
929,"929 PINHAIS - CENTRO","07/03/25",33
511,"511 CATAGUASES","07/03/25",30
2248,"2248 STA.FELICIDADE-UCT","07/03/25",30
343,"343 CHAPECO CENTRO","07/03/25",30
3043,"3043 JACOBINA","07/03/25",30
2004,"2004 GUAIANAZES-USP","07/03/25",30
590,"590 GURUPI","07/03/25",30
380,"380 TIJUCAS","07/03/25",30
5718,"5718 R.XV DE NOVEMBRO-CURITIBA,PR","07/03/25",29
2398,"2398 NAZARE-UBE","07/03/25",29
2000,"2000 PENINSULA-URB.RJ, RJ","07/03/25",29
509,"509 PONTE NOVA","07/03/25",29
690,"690 RIBEIRA DO POMBAL","07/03/25",29
584,"584 BAIRRO SAO CRISTOVAO","07/03/25",29
1546,"1546 MAGE","07/03/25",29
2034,"2034 ALCANTARA-U.S.GONC.","07/03/25",29
277,"277 V.JAGUARA-USP","07/15/25",40
3651,"3651 JORGE AMADO-USA","07/03/25",28
662,"662 BROTAS-USA","07/03/25",28
3143,"3143 AZENHA-UPA","07/03/25",28
2814,"2814 JD.PRIMAVERA-U-D-CAX","07/03/25",28
508,"508 DIVINOPOLIS","07/15/25",40
1376,"1376 EDUCANDOS-UMA","07/03/25",28
1417,"1417 MERC.S.SEBASTIAO-URJ","07/03/25",28
352,"352 IMBITUBA","07/15/25",39
126,"126 AUGUSTA-USP","07/15/25",35
512,"512 AG SETE LAGOAS-CENTRO","07/15/25",35
2024,"2024 NUCLEO BAND.CID.SAT.","07/03/25",23
602,"602 CANSANCAO","07/31/25",50
481,"481 CUBATAO","07/15/25",33
1134,"1134 COELHO NETO","07/31/25",49
2744,"2744 JD.ANGELA-USP","07/15/25",33
2143,"2143 MARICA","07/31/25",49
1035,"1035 BREJO","07/15/25",33
2512,"2512 PIABETA","07/31/25",49
6638,"6638 R.XV DE NOVEMBRO.-U.S.J.PINHAI","07/31/25",49
2386,"2386 ESTRADA DOS ROMEIROS -U.BARUERI","07/15/25",32
547,"547 CARLOS CAMPOS-USP","07/03/25",19
1905,"1905 VICENTE CARVALHO","07/15/25",31
3734,"3734 PARQUE DEZ-UMA","07/15/25",31
1784,"1784 LIMOEIRO","07/15/25",31
135,"135 COPACABANA-URJ","07/31/25",44
2247,"2247 ROCHDALE-URB.OSASCO","07/03/25",16
537,"537 S.VICENTE-CENTRO","07/15/25",28
2883,"2883 JAGUARE-USP","07/15/25",28
1948,"1948 ITABORAI","07/31/25",44
952,"952 AV. GEREMARIO DANTAS","07/31/25",44
5390,"5390 URBANO SANTOS","07/31/25",43
238,"238 IPIAU","07/31/25",43
3073,"3073 CONCEICAO DO COITE","07/31/25",43
2282,"2282 R.BORGES LAGOA-USP","07/31/25",43
1890,"1890 LAVRAS","07/31/25",42
2605,"2605 PLINIO CASADO-U.D.CX","07/31/25",42
