id_bradesco,unit_name,data_inicio,dias_antes_automacao,reference_id,unit_id
1599,1599 OLINDA-CENTRO,06/16/25,33,4086,3746
421,421 HEITOR PENTEADO-USP,06/16/25,33,4411,3750
237,237 ILHEUS-CENTRO,06/16/25,33,4227,3748
3578,3578 RIO REAL,06/16/25,32,4335,3753
545,545 V.NOVA CACHOEIR-USP,06/16/25,32,4410,3754
3848,3848 PICARRA-URB.TERESINA,06/16/25,32,4334,3752
2778,2778 RUA DIAS CRUZ - URB - RJ,06/16/25,31,4223,3757
3183,3183 EUNAPOLIS,06/16/25,30,4172,3758
1855,1855 CONGONHAS,06/16/25,30,4352,3759
3691,3691 ITABATAN PV MUCURI,07/03/25,44,4150,3765
6074,6074 PRIME MEIER-URJ,07/03/25,44,4224,3766
3114,3114 NACIONAL-USP,07/03/25,44,4313,3768
2337,2337 PRIME PRAÇA DO BATEL URB CURITIBA PR,07/03/25,44,,
255,255 HORTO FLORESTAL-USP,07/03/25,44,4461,3770
2029,2029 CID.OCIAN-U.P.GRANDE,07/03/25,43,4336,3773
313,313 V.LEOPOLDINA-USP,07/03/25,43,4422,3774
2003,2003 NOVA CANTAREIRA-USP,07/03/25,42,4478,3778
2212,2212 ELDORADO-U.CONT.,07/03/25,42,4314,3777
872,872 BARRA WORLD URJ,07/03/25,41,4345,3785
1066,1066 PRIME PALMAS,07/03/25,41,4366,3787
280,280 PRAIA GRANDE-CENTRO,07/03/25,41,4333,3784
3217,3217 VITORIA DE STO.ANTAO,07/03/25,40,4100,3789
576,576 MURIAE,07/03/25,40,4251,3791
3515,3515 EUCLIDES DA CUNHA,07/03/25,40,4346,3792
2889,2889 V.TUPY-U.PRAIA GDE.,07/03/25,40,4347,3793
3666,3666 PERIPERI-USA,07/03/25,40,4220,3790
2303,2303 JD.TRANQUILIDADE-UGU,07/03/25,40,4485,3794
3013,3013 CAMACAN,06/16/25,21,4217,3756
349,349 GASPAR,07/03/25,37,4212,3797
1074,1074 TUTOIA-USP,07/03/25,37,4495,3801
5755,5755 R. JOAO NEGRAO-U CURITIBA- PR,07/03/25,37,4236,3798
3715,3715 AV.CARVALHO LEAL-UMA,07/03/25,37,4193,3803
854,854 TIMOM,07/03/25,37,4400,3800
3664,3664 AV.JK UPALMAS,07/03/25,36,4365,3808
5423,5423 RAIZ - URB MANAUS- AM,07/03/25,36,4198,3805
1867,1867 COLOMBO-CENTRO,07/03/25,36,4344,3807
2415,2415 JD.HEL.MARIA-U.OSAS.,07/03/25,36,4403,3809
337,337 BRUSQUE-CENTRO-SC,07/03/25,35,4214,3812
1407,1407 V.BARROS-U.GUARULHOS,07/03/25,35,4527,3817
495,495 AV.IBIRAPUERA-USP,07/03/25,35,4525,3816
2799,2799 V.BORGES-USP,07/03/25,35,4569,3818
1156,1156 CAPIM GROSSO,07/03/25,35,4357,3815
450,450 COLONIAL-USP,07/03/25,34,4377,3820
6693,6693 AV.JOAQ.T.SEGUR-UPAL,07/03/25,34,4385,3821
2397,2397 PALMAS-CTO,07/03/25,34,4387,3822
293,293 B.LIMAO-USP,07/03/25,33,4500,3829
2010,2010 SANTA RITA,07/03/25,33,4589,3833
129,129 DUQUE DE CAXIAS-CTO.,07/03/25,33,4311,3826
1742,1742 JACANA-USP,07/03/25,33,4561,3831
154,154 GUARULHOS-CENTRO,07/03/25,33,4578,3832
2846,2846 V.OLIMPIA-USP,07/03/25,33,4546,3830
929,929 PINHAIS - CENTRO,07/03/25,33,4361,3828
511,511 CATAGUASES,07/03/25,30,4238,3835
2248,2248 STA.FELICIDADE-UCT,07/03/25,30,4367,3840
343,343 CHAPECO CENTRO,07/03/25,30,4262,3836
3043,3043 JACOBINA,07/03/25,30,4363,3839
2004,2004 GUAIANAZES-USP,07/03/25,30,4594,3841
590,590 GURUPI,07/03/25,30,4340,3838
380,380 TIJUCAS,07/03/25,30,4189,3834
5718,"5718 R.XV DE NOVEMBRO-CURITIBA,PR",07/03/25,29,4240,3843
2398,2398 NAZARE-UBE,07/03/25,29,4460,3849
2000,"2000 PENINSULA-URB.RJ, RJ",07/03/25,29,4418,3846
509,509 PONTE NOVA,07/03/25,29,4254,3825
690,690 RIBEIRA DO POMBAL,07/03/25,29,4317,3845
584,584 BAIRRO SAO CRISTOVAO,07/03/25,29,4261,3844
1546,1546 MAGE,07/03/25,29,4450,3848
2034,2034 ALCANTARA-U.S.GONC.,07/03/25,29,4446,3847
277,277 V.JAGUARA-USP,07/15/25,40,4587,3870
3651,3651 JORGE AMADO-USA,07/03/25,28,4237,3852
