unit_id,data,hora,metodo,consumo_kwh_total,qtd_dispositivos
117,2025-08-18,14,indireto,5.0,1
117,2025-08-18,15,indireto,4.79,1
117,2025-08-18,16,indireto,5.0,1
117,2025-08-18,17,indireto,4.583,1
117,2025-08-18,18,indireto,5.0,1
117,2025-08-18,19,indireto,5.0,1
117,2025-08-18,20,indireto,5.0,1
117,2025-08-18,21,indireto,4.928,1
117,2025-08-19,13,indireto,4.797,1
117,2025-08-19,14,indireto,4.792,1
117,2025-08-19,15,indireto,5.0,1
117,2025-08-19,16,indireto,5.0,1
117,2025-08-19,17,indireto,5.0,1
117,2025-08-19,18,indireto,5.0,1
117,2025-08-19,19,indireto,5.0,1
117,2025-08-19,20,indireto,5.0,1
117,2025-08-19,21,indireto,5.0,1
117,2025-08-19,22,indireto,0.396,1
117,2025-08-20,7,indireto,4.294,1
117,2025-08-20,8,indireto,5.0,1
117,2025-08-20,9,indireto,0.522,1
117,2025-08-20,11,indireto,0.799,1
117,2025-08-20,12,indireto,5.0,1
117,2025-08-20,13,indireto,4.792,1
117,2025-08-20,14,indireto,5.0,1
117,2025-08-20,15,indireto,4.644,1
117,2025-08-20,16,indireto,5.0,1
117,2025-08-20,17,indireto,5.0,1
117,2025-08-20,18,indireto,4.792,1
117,2025-08-20,19,indireto,5.0,1
117,2025-08-20,20,indireto,4.792,1
117,2025-08-20,21,indireto,4.278,1
117,2025-08-21,13,indireto,4.357,1
117,2025-08-21,14,indireto,5.0,1
117,2025-08-21,15,indireto,5.0,1
117,2025-08-21,16,indireto,5.0,1
117,2025-08-21,17,indireto,5.0,1
117,2025-08-21,18,indireto,4.604,1
117,2025-08-21,19,indireto,1.332,1
117,2025-08-21,20,indireto,5.0,1
117,2025-08-21,21,indireto,5.0,1
117,2025-08-21,22,indireto,0.508,1
117,2025-08-22,13,indireto,0.772,1
117,2025-08-22,14,indireto,5.0,1
117,2025-08-22,15,indireto,5.0,1
117,2025-08-22,16,indireto,5.0,1
117,2025-08-22,17,indireto,5.0,1
117,2025-08-22,18,indireto,5.0,1
117,2025-08-22,19,indireto,5.0,1
117,2025-08-22,20,indireto,5.0,1
117,2025-08-22,21,indireto,2.433,1
117,2025-08-23,10,indireto,1.582,1
117,2025-08-23,11,indireto,5.0,1
117,2025-08-23,12,indireto,5.0,1
117,2025-08-23,13,indireto,5.0,1
117,2025-08-23,14,indireto,5.0,1
117,2025-08-23,15,indireto,5.0,1
117,2025-08-23,16,indireto,5.0,1
117,2025-08-23,17,indireto,5.0,1
117,2025-08-23,18,indireto,5.0,1
117,2025-08-23,19,indireto,5.0,1
117,2025-08-23,20,indireto,5.0,1
117,2025-08-23,21,indireto,4.754,1
117,2025-08-24,7,indireto,3.436,1
117,2025-08-24,8,indireto,5.0,1
117,2025-08-24,9,indireto,5.0,1
117,2025-08-24,10,indireto,5.0,1
117,2025-08-24,11,indireto,5.0,1
117,2025-08-24,12,indireto,4.792,1
117,2025-08-24,13,indireto,5.0,1
117,2025-08-24,14,indireto,5.0,1
117,2025-08-24,15,indireto,5.0,1
117,2025-08-24,16,indireto,5.0,1
117,2025-08-24,17,indireto,5.0,1
117,2025-08-24,18,indireto,5.0,1
117,2025-08-24,19,indireto,5.0,1
117,2025-08-24,20,indireto,5.0,1
117,2025-08-24,21,indireto,4.706,1
117,2025-08-25,12,indireto,4.528,1
117,2025-08-25,13,indireto,5.0,1
117,2025-08-25,14,indireto,5.0,1
117,2025-08-25,15,indireto,5.0,1
117,2025-08-25,16,indireto,5.0,1
117,2025-08-25,17,indireto,5.0,1
117,2025-08-25,18,indireto,5.0,1
117,2025-08-25,19,indireto,5.0,1
117,2025-08-25,20,indireto,5.0,1
117,2025-08-25,21,indireto,4.611,1
117,2025-08-26,11,indireto,1.576,1
117,2025-08-26,12,indireto,5.0,1
117,2025-08-26,13,indireto,5.0,1
117,2025-08-26,14,indireto,5.0,1
117,2025-08-26,15,indireto,5.0,1
117,2025-08-26,16,indireto,2.178,1
117,2025-08-26,17,indireto,3.851,1
117,2025-08-26,18,indireto,5.0,1
117,2025-08-26,19,indireto,5.0,1
117,2025-08-26,20,indireto,3.664,1
117,2025-08-26,21,indireto,1.689,1
117,2025-08-26,22,indireto,0.762,1
117,2025-08-27,7,indireto,4.204,1
117,2025-08-27,8,indireto,5.0,1
117,2025-08-27,9,indireto,5.0,1
117,2025-08-27,10,indireto,5.0,1
