unit_id,data,hora,qtd_devices_total,qtd_dac,qtd_dut,peso_medio_dac,peso_medio_dut,consumo_kwh_total,metodos
117,2025-08-08,14,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-08,15,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-08,16,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-08,17,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-08,18,1,1,0,1.0,0.0,4.165,indireto
117,2025-08-08,19,1,1,0,1.0,0.0,3.307,indireto
117,2025-08-08,20,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-08,21,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-08,22,1,1,0,1.0,0.0,0.547,indireto
117,2025-08-09,11,1,1,0,1.0,0.0,2.386,indireto
117,2025-08-09,12,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-09,13,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-09,14,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-09,15,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-09,16,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-09,17,1,1,0,1.0,0.0,4.624,indireto
117,2025-08-09,18,1,1,0,1.0,0.0,3.661,indireto
117,2025-08-09,19,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-09,20,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-09,21,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-09,22,1,1,0,1.0,0.0,0.022,indireto
117,2025-08-10,12,1,1,0,1.0,0.0,0.132,indireto
117,2025-08-11,12,1,1,0,1.0,0.0,2.564,indireto
117,2025-08-11,13,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-11,14,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-11,15,1,1,0,1.0,0.0,4.792,indireto
117,2025-08-11,16,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-11,17,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-11,18,1,1,0,1.0,0.0,4.688,indireto
117,2025-08-11,19,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-11,20,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-11,21,1,1,0,1.0,0.0,4.949,indireto
117,2025-08-11,22,1,1,0,1.0,0.0,0.104,indireto
117,2025-08-12,11,1,1,0,1.0,0.0,2.436,indireto
117,2025-08-12,12,1,1,0,1.0,0.0,4.79,indireto
